"DATE","DESCRIPTION","AMOUNT","CHECK #","STATUS"
"06/15/2026","ZELLE TO ALEX ON 06/14 REF # WFCT129MW5TL DINNER","-50.00","","Posted"
"06/15/2026","PURCHASE                                AUTHORIZED ON   06/13 WALGREENS STORE 1751 ORLANDO        FL  P386165056412180   CARD 5559","-14.43","","Posted"
"06/15/2026","PURCHASE                                AUTHORIZED ON   06/13 PUBLIX #509               ORLANDO       FL  S586164699153093   CARD 5559","-12.20","","Posted"
"06/15/2026","PURCHASE                                AUTHORIZED ON   06/11 McDonalds 10344           ORLANDO       FL  S356162837161401   CARD 5559","-12.75","","Posted"
"06/12/2026","PURCHASE                                AUTHORIZED ON   06/11 RACETRAC 601              ORLANDO       FL  S306162857906508   CARD 5559","-35.35","","Posted"
"06/12/2026","PURCHASE                                AUTHORIZED ON   06/11 UBER * EATS PENDING       San Francisco CA  P000000045162535   CARD 5559","-11.49","","Posted"
"06/12/2026","PURCHASE                                AUTHORIZED ON   06/10 STEAMGAMES.COM 425        425-8899642   WA  S346161724681317   CARD 5559","-5.00","","Posted"
"06/12/2026","THE UNIVERSITY O 86171             12323058        JOHN DOE","1240.09","","Posted"
"06/11/2026","PURCHASE                                AUTHORIZED ON   06/10 UBER * EATS PENDING       San Francisco CA  P000000446806122   CARD 5559","-11.49","","Posted"
"06/11/2026","PURCHASE                                AUTHORIZED ON   06/09 TST* BAR LOUIE - U        ORLANDO       FL  S466161053514631   CARD 5559","-10.02","","Posted"
"06/11/2026","PURCHASE                                AUTHORIZED ON   06/09 WL *STEAM PURCHASE        425-889-9642  WA  S386160674857404   CARD 5559","-5.00","","Posted"
"06/10/2026","RECURRING PAYMENT                       AUTHORIZED ON   06/09 OPENAI *CHATGPT SU        OPENAI.COM    CA  S466160609203211   CARD 5559","-20.00","","Posted"
"06/10/2026","PURCHASE                                AUTHORIZED ON   06/09 PUBLIX #458               ORLANDO       FL  S586160432425882   CARD 5559","-18.02","","Posted"
"06/09/2026","PURCHASE                                AUTHORIZED ON   06/08 TST*CAMILAS RESTAU        ORLANDO       FL  S306160054585548   CARD 5559","-29.10","","Posted"
"06/09/2026","PURCHASE                                AUTHORIZED ON   06/08 PANDA EXPRESS #308        ORLANDO       FL  S306159600093987   CARD 5559","-9.05","","Posted"
"06/08/2026","ZELLE TO MIKE ON 06/08 REF # WFCT128WZR9Z RENT","-500.00","","Posted"
"06/08/2026","PURCHASE                                AUTHORIZED ON   06/07 UBER * EATS PENDING       San Francisco CA  P000000645910602   CARD 5559","-11.49","","Posted"
"06/08/2026","PURCHASE                                AUTHORIZED ON   06/07 CHEVRON 0308226           ORLANDO       FL  S586158791539438   CARD 5559","-50.41","","Posted"
"06/08/2026","ZELLE TO SARAH ON 06/06 REF # WFCT128RN26Z GROCERIES","-30.00","","Posted"
"06/08/2026","PURCHASE                                AUTHORIZED ON   06/05 TST*LA PERLA SEAFO        ORLANDO       FL  S306157016550851   CARD 5559","-25.00","","Posted"
"06/05/2026","PURCHASE                                AUTHORIZED ON   06/05 UBER * EATS PENDING       San Francisco CA  P000000641076569   CARD 5559","-20.37","","Posted"
"06/05/2026","PURCHASE                                AUTHORIZED ON   06/04 UBER * EATS PENDING       San Francisco CA  P000000144896621   CARD 5559","-10.21","","Posted"
"06/05/2026","PURCHASE                                AUTHORIZED ON   06/04 UBER * EATS PENDING       San Francisco CA  P000000044196945   CARD 5559","-11.49","","Posted"
"06/04/2026","PURCHASE                                AUTHORIZED ON   06/03 PANDA EXPRESS #308        ORLANDO       FL  S386154842988609   CARD 5559","-11.18","","Posted"
"06/04/2026","PURCHASE                                AUTHORIZED ON   06/02 TST* BAR LOUIE - U        ORLANDO       FL  S466154058070258   CARD 5559","-10.02","","Posted"
"06/02/2026","PURCHASE                                AUTHORIZED ON   06/01 PUBLIX #458               ORLANDO       FL  S586152838781616   CARD 5559","-23.37","","Posted"
"06/02/2026","PURCHASE                                AUTHORIZED ON   06/01 UBER * EATS PENDING       San Francisco CA  P000000447443653   CARD 5559","-23.96","","Posted"
"06/02/2026","PURCHASE                                AUTHORIZED ON   06/01 Riot* AN65E6K2VXV6        866-373-9211  CA  S306152487405475   CARD 5559","-9.99","","Posted"
"06/02/2026","PURCHASE                                AUTHORIZED ON   05/31 McDonalds 10344           ORLANDO       FL  S356152092442922   CARD 5559","-10.74","","Posted"
"06/01/2026","PURCHASE                                AUTHORIZED ON   06/01 MARATHON 225151           ORLANDO       FL  P000000956408643   CARD 5559","-46.21","","Posted"
"06/01/2026","PURCHASE                                AUTHORIZED ON   05/30 OAKBERRY ACAI              ORLANDO       FL  S306150848975049   CARD 5559","-30.64","","Posted"
"06/01/2026","RECURRING PAYMENT                       AUTHORIZED ON   05/30 Spotify USA               877-7781161   NY  S306150769254095   CARD 5559","-7.87","","Posted"
"06/01/2026","PURCHASE                                AUTHORIZED ON   05/30 TST*KINGDOM SUSHI         ORLANDO       FL  S306150644224564   CARD 5559","-96.11","","Posted"
"06/01/2026","PURCHASE                                AUTHORIZED ON   05/29 RACETRAC 601              ORLANDO       FL  S306150034698005   CARD 5559","-51.23","","Posted"
"06/01/2026","PURCHASE                                AUTHORIZED ON   05/29 PANDA EXPRESS #308        ORLANDO       FL  S356149658176550   CARD 5559","-11.18","","Posted"
"06/01/2026","ZELLE FROM EMPLOYER ON 06/01 REF # WFCT127ZT8CX MONTHLY SALARY","2500.00","","Posted"
"05/29/2026","PURCHASE                                AUTHORIZED ON   05/28 PUBLIX #458               ORLANDO       FL  S346149056738084   CARD 5559","-5.46","","Posted"
"05/29/2026","PURCHASE                                AUTHORIZED ON   05/28 Uber Technologies, Inc    Wilmington    DE  P000000641605400   CARD 5559","-10.85","","Posted"
"05/29/2026","ONLINE TRANSFER FROM SAVINGS REF #IB0Y9LHR97 TRANSFER","500.00","","Posted"
"05/29/2026","THE UNIVERSITY O 85221             12295209        JOHN DOE","664.00","","Posted"
"05/26/2026","ONLINE TRANSFER REF #IB0Y7BFPRF TO WELLS FARGO ACTIVE CASH VISA CARD XXXXXXXXXXXX0356 ON 05/23/26","-852.63","","Posted"
"05/22/2026","WELLS FARGO REWARDS","42.00","","Posted"
"05/20/2026","PURCHASE                                AUTHORIZED ON   05/18 MTA*NYCT PAYGO            NEW YORK      NY  S306138625252386   CARD 5559","-3.00","","Posted"
"05/19/2026","PURCHASE                                AUTHORIZED ON   05/18 PATH TAPP PAYGO CP        NEW JERSEY    NJ  S386138815316875   CARD 5559","-3.25","","Posted"
"05/19/2026","PURCHASE                                AUTHORIZED ON   05/17 MTA*NYCT PAYGO            NEW YORK      NY  S586138087805410   CARD 5559","-3.00","","Posted"
"05/19/2026","PURCHASE                                AUTHORIZED ON   05/17 MTA*NYCT PAYGO            NEW YORK      NY  S386138051883009   CARD 5559","-3.00","","Posted"
"05/19/2026","PURCHASE                                AUTHORIZED ON   05/17 MTA*NYCT PAYGO            NEW YORK      NY  S386138000632298   CARD 5559","-3.00","","Posted"
"05/19/2026","PURCHASE                                AUTHORIZED ON   05/17 MTA*NYCT PAYGO            NEW YORK      NY  S306137783245129   CARD 5559","-3.00","","Posted"
"05/18/2026","ZELLE TO CHRIS ON 05/18 REF # WFCT126JXNQR UTILITIES","-120.00","","Posted"
"05/18/2026","PURCHASE                                AUTHORIZED ON   05/17 Uber Technologies, Inc    Wilmington    DE  P000000340417592   CARD 5559","-65.66","","Posted"
"05/18/2026","PURCHASE                                AUTHORIZED ON   05/17 PATH TAPP PAYGO CP        NEW JERSEY    NJ  S466138098023619   CARD 5559","-3.25","","Posted"
"05/18/2026","PURCHASE                                AUTHORIZED ON   05/17 SQ *BUTTER SMASHBU        New York      NY  S356137826742324   CARD 5559","-19.45","","Posted"
"05/18/2026","PURCHASE                                AUTHORIZED ON   05/17 MTA*NYCT PAYGO            NEW YORK      NY  S386137291714812   CARD 5559","-3.00","","Posted"
"05/18/2026","PURCHASE                                AUTHORIZED ON   05/17 MTA*NYCT PAYGO            NEW YORK      NY  S586137254040612   CARD 5559","-3.00","","Posted"
"05/18/2026","PURCHASE                                AUTHORIZED ON   05/16 PATH TAPP PAYGO CP        NEW JERSEY    NJ  S356137125187095   CARD 5559","-3.25","","Posted"
